,Unnamed: 0,название,Год выхода,Жанр,Тип,Количество серий,Описание
204,204, Дорога зверя / Hataage! Kemono Michi [1-12 из 12], 2019," комедия, фэнтези, сёнэн", ТВ, 12 (25 мин.)," Гэндзо Сибату был борцом на профессиональном уровне. К тому же он яростно защищал животных. Имелось у него прозвище довольно милое, как для рестлера. Величали его Пушистой Маской. Парень пребывал в ожидании начала решающего поединка, но происходит нечто неожиданное и даже пугающее. Он переносится в потусторонний мир. И произошло это вовсе не спонтанно, а согласно спланированным действиям принцессы Сибаты Гэнзо. Она призвала смелого парня с определенной целью. Она торопится призванного ею героя ввести в курс дела, вот только не ожидает непредсказуемости с его стороны. Парень не взирает на то, что перед ним принцесса и, применив немецкий суплекс, просто отбывает восвояси. Вот только в свой мир он не может вернуться при всем дичайшем желании это сделать. Принцесса же желала, чтобы Гэндзо помог ей и жителям этого мира справиться с нашествием вражеских монстров. С этой целью его и призвали. Принцесса же не уточнила своего повеления, и рестлер решил, что речь идет об уничтожении зверей. Такого он точно не мог допустить. Он был уверен, что все звери безопасны. В новом для себя мире он находит занятие по душе. У Гэндзо появляется магазин монстров, но домашних, а потому безобидных."
205,205, Сумасшедшие ребята / Chuubyou Gekihatsu Boy [1-11 из 11], 2019," комедия, повседневность, музыкальный, школа", ТВ, 12+ (25 мин.)," Перевод в новую школу посреди учебного года то ещё удовольствие, но есть обстоятельства, которые невозможно изменить и следует им подчиняться. Так и вышло у ученицы старшего класса Мидзуки Хидзири. Новая школа пугала сама по себе неизвестностью. Мидзуки желала обзавестись друзьями, и потому была открыта общению. Но она не имела представления о том, какие ребята учились в новой школе. И узнавши местные нравы, Мидзуки приходит в состояние шока. Мальчишки из школы обладают неоднозначным качеством, а именно манией величия и общение с ними складывается непростым образом. Мидзуки несклонна резко судить людей. Она решает получше узнать тех, с кем предстоит учиться. Так она узнает, что Нода желает стать героем, красавчик Такасима тяготеет быть отаку и он влюблен в девушек 2D, Накамура полагает, что является реинкарнацией демона или ангела, просто сам не решил, кого именно. Цукумо приспешник преступника, но кроме этого он струнный сборщик. И всех этих ребят объединяет тяга заявить о себе, как о певцах. Чем больше девушка узнает их, тем сильнее становится уровень её негодования. Но что она собирается делать с новоиспеченными друзьями или просто дистанцируется от них?"
206,206, Психопаспорт (третий сезон) / Psycho-Pass 3rd Season [1-8 из 8], 2019," триллер, фантастика", ТВ, 8 (45 мин.)," Мир должен быть безопасным и с этой целью власти утвердили программу определения склонности людей к совершению преступлений. Потенциальным преступникам влезали в голову и корректировали психику. В случае, если это было невозможно, уничтожались носители склонности. Данные о психическом состоянии каждого человека вносились в его персональный психопаспорт. Кроме этого была создана Сивилла, являющаяся искусственным интеллектом. Используя специальные датчики и дроны, она осуществляла контроль за городом, в целом и за каждым жителем в отдельности. И эта система контроля не была идеальной. Если преступнику удалось миновать проверку психики, следует уже включиться людям в процесс его поиска. Этой задачей занимается отдел, состоящий из двадцати сотрудников. Узнать психопаспорт человека возможно при наведении на него «пушки». В случае если коэффициент преступления превысил сотню единиц, будет активирован парализатор. Сивилла тем временем показывает себя с неожиданной стороны и о происходящем узнает Аканэ Цуннэмори. Инспектор искренне желает установления в обществе гармонии и правопорядка. Идет суд, а Когами исчезает, в Департаменте возникает суматоха."
207,207, Доктор Стоун / Dr. Stone [1-24 из 24], 2019," фантастика, приключения, сёнэн", ТВ, 24 (25 мин.)," Планета Земля пригодна для жизни людей, как для биологического вида, но вовсе не гарантирует полнейшей безопасности всем тем, кто населяет её. То и дело происходят различные катастрофы, и гибнет все живое. Так произошло и в тот день, когда в небе появилась громадная слепящая глаза вспышка. И все. С того момента человечество прекратило свое существование. Все люди на планете окаменели. Никому не удалось избежать такого воздействия неизвестных факторов. Проходят столетия. Каменные люди никуда не исчезли. Они словно ждали своего часа. И для одной из каменных статуй этот час наступит. Тайджи Оки был старшеклассником на момент глобального окаменения. Ему и выпадает уникальный шанс очнуться. Когда сознание вернулось к парню, он пришел в ужас от увиденного. Но парню повезло, что он не одинок в новом мире, где нет людей. Очнулся от каменного сна и Сэнку Ишигами, с которым Тайджи дружил. Сэнку был обожателем науки и после того, как он очнулся, твердо решил отыскать способ, который вернет к жизни всех людей, превращенных в камень. Парень и вовсе стоит у порога глобального открытия, которое даст новое развитие цивилизации. Но друзьям придется сильно потрудиться, чтобы спасти мир."
208,208, Вайолет Эвергарден: Вечность и призрак пера / Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou [1 из 1], 2019," драма, фэнтези, повседневность", полнометражный фильм, 1 (90 мин.)," На палубе парохода стоял подросток и читал потрепанное временем письмо. Наконец-то на горизонте показался город. Белокурая девушка, завершив печатать, отправилась на вокзал, чтобы сесть в поезд. В здании, окруженная учителями и служанками жила девушка Изабелла Йорк. Учениц данного заведения ждал либо высокий статус, либо замужество за видной персоной. Изабелла знала, что ей уготовано второе. Вайолет Эвергарден полагалась иная доля. Девушке надлежало быть инструктором Изабеллы, так как её попросили в родовом гнезде Йорков помочь с выходом наследницы в свет. Вайолет была из службы самопишущих кукол. Она должна обучить этикету манер и искусству танцев Изабеллу. Наследница Йорков больна и не тяготеет выбраться наружу. Мисс Ланкастер и другие ученицы восхищены манерами Вайолет. Они сравнивают её с принцессой. Вайолет приходится улаживать конфликты Изабеллы с другими ученицами. При этом кукле доводится контролировать манеры и речь Изабеллы. Та самой себе кажется ничтожной на фоне служанки. Ланкастер делает приглашение Изабелле отправиться на мероприятие, но в ответ слышит грубость. Вайолет, как и полагается принцессе-рыцарю и этот инцидент сглаживает."
209,209, Звёзды ансамбля! / Ensemble Stars! [1-21 из 24+], 2019," повседневность, музыкальный, школа, сёдзё", ТВ, 24+ (25 мин.)," Частная академия Юмэносаки была расположена в весьма живописной местности, а именно на холме неподалеку от океана. Виды из окна помогали настраиваться на учебный процесс. Учились в данном заведении айдолы, но только парни. Подготовка оных в академии велась на высочайшем уровне. История учебного заведения исчислялась не одним десятилетием, и за этот период индустрия развлечений получила талантливейших айдолов, ставших настоящими любимцами публики и вписавших свои имена в историю шоу-бизнеса. В общем, слава об академии ширилась громкая и положительная.
Об академии узнала довольно интересная девушка, решившая, что ей непременно следует перевестись туда на обучение. Она стала единственной девушкой среди учащихся, и данное обстоятельство могло бы её смущать, да вот курс продюсеров, который она решила освоить, имелся в Юмэносаки. И теперь ей предстоит заняться формированием айдолов. Администрация академии полагает, что знакомство предприимчивой девушки и парней пройдет без сучка и задоринки и в итоге ими будет достигнут высокий результат. Так начнется плодотворная работа Хокуто Хидака, Макото Юки, Мао Исара и Субуру Акэхтши над приближением к успеху."
210,210, Левиус / Levius [1-12 из 12], 2019," фантастика, меха, боевые искусства", ONA, 12 (25 мин.)," В разгаре XIX век. Не так давно завершился разрушительный военный конфликт. Мир потихоньку приходит в себя. Пока восстанавливается инфраструктура страны, следует отыскать применение бывшим солдатам. В них нет потребности у государства и общества. На помощь приходит спорт. На ринге встречаются те, кто привык рисковать жизнью. Левиус был одним из них. Под улюлюканье публики Левуис Кромвель наносит сокрушительный удар противнику и становится победителем. Но ему самому предстоит серьезный ремонт. Он был киборгом, как и другие солдаты, решившиеся на такие видоизменения ради боевой мощи. Левиус помнил то, что предшествовало его становлению, как бойца ринга. Взрывы приближались к городу. Люди бежали к горе. Левиус не мог прятаться. Он бежал в сторону, где находилась мать. Там он и заметил монстра, тащившего девушку. Помочь ей Левиус не мог. Часть города пылала. Мать Левиуса была жива, и она приблизилась к нему. Тридцативосьмилетний мужчина с глазной повязкой рассматривал фотографию Левиуса. Ему следовало адаптировать грустного парня, и он привел Левиуса к себе домой. Он отдает парню фотографию, которую прислали из убежища. И конверт со сведениями о его матери."
211,211, Пять невест (второй сезон) / Go-Toubun no Hanayome 2nd Season [Анонс] [1 серия - в  2020], 2020," школа, комедия, романтика, сёнэн", ТВ, 12+ (25 мин.)," Футаро Уэсуги является старшеклассником. В школе к нему обращается миленькая девочка с просьбой о помощи. Она не сильна в некоторых школьных дисциплинах и не отказалась бы от репетитора. Но Футаро довольно резко реагирует на обращение девушки и даже грубит ей. Неудивительно, что они поругались. Парня ждало неприятное известие о том, что постигло его семью. Банкротство нависло над его родителями. И теперь ему также придется вовлекаться в решение данной проблемы и натаскивать дочку богатого человека за оплату. А той самой ученицей была девушка, с которой он повздорил. Футаро придется попрать собственную гордость. Старшеклассник вынужден упрашивать гордую дочь богатого человека позволить ему быть её репетитором. А у неё имеется четыре сестры и с ними также следует заниматься. Каждая из пятерых сестер обладает особенностями характера и у каждой есть своя трудность в учебе и все это следует устранять Футаро. Но в общении с сестрами есть и положительная сторона, романтическая, и она отразится на его взрослой жизни. Парень наконец-то отошел от репетиторства и женился. Женой Футаро стала одна из очаровательных сестер. И судьба дает ему новое испытание и не менее серьезное."
212,212, Ванпанчмен (второй сезон) / One Punch Man 2nd Season [1-12 из 12] [OVA 1 из 1], 2019," приключения, комедия, фэнтези, фантастика", ТВ, 12 (25 мин.)," Что можно сделать за один удар? Можно, к примеру, нарубить парочку дровишек для костра, забить гвоздь в стул, на котором будет сидеть твой хороший друг, или же одним хорошеньким ударом вынести ворота охраняемого драконом замка, вызволив принцессу. Наш главный герой - не принц, чья задача победить большого дракона, хотя он способен и на это. Сайтама является профессиональным героем, чьё основное кредо - спасать всех, а не только принцесс. Со своей задачей он справляется отлично, уничтожая любого врага всего лишь одним ударом. Вот этот один удар... Универсальное оружие Сайтамы, вызывающее парадокс. Помимо желания спасать людей, Сайтама так же любит подраться. И когда он видит свирепого и сильного с виду врага, а потом через секунду одним ударом превращает его в гоголь-моголь, тогда его охватывает жуткая депрессия и слова ""опять всё окончилось одним ударом"" слетают с его уст. Жизнь становится тленом, но зато все кругом в безопасности. Принесет ли второй сезон аниме Ванпанчман Сайтаме по-настоящему достойного врага и не станет ли это предвестником апокалипсиса? Скоро узнаем.)"
213,213, Кэнган Асура / Kengan Ashura [1-24 из 24], 2019," приключения, боевые искусства", ONA, 12 (25 мин.)," Здание, на которое мало кто обращал внимание, таило тайну. Там должен был пройти смертельный бой. И увидел это мимо проходивший мужчина средних лет. И он замер, следя за развитием событий. Молодой парень, намного меньше по габаритам своего соперника, смело принял вызов. Сокрушительный удар гиганта провалил бетонную стену. Брюнет только увернулся от удара и с хладнокровием отмечал, что у противника железные сапоги. Но стоило стройному парню начать бить гиганта, как тот оказался практически поверженным. Без особых усилий брюнет вывихнул одну из рук соперника. Ома Токита представился незнакомцу. Ома носил прозвище «Асура» и на профессиональных рингах выступал довольно давно. Казумо Ямошито дрожал от страха, как всегда. На работе у Ямошито возникают трудности из-за невыполнения квоты. Все коллеги были в курсе, что шеф сваливал всю кропотливую работу на Ямошито. Тому оставалось только мечтать о силе, как у того парня в подворотне. Президент группы компаний вызывает мелкого клерка. Ему интересно узнать у Казумо, как разрешить конфликт. Президент сам называет один из вариантов и им является насилие. И он приводит в пример из истории о кровавых конфликтах купцов."
214,214, Великий правитель / Da Zhu Zai [1-12 из 12], 2019," фэнтези, приключения", ТВ, 12 (25 мин.)," Мириады миров, слияние измерений, развитие многообразия и появление новых талантов. Эта история о человеке из самого низшего мира, который смог понять эту вселенную и вопреки всему найти свой путь по восхождению к славе.
Мучень стал первым из мира Бэйлинг, кого выбрали для обучения в школе Душевного Пути, выбор совершался Измерением Суда раз в 3 года и еще ни разу ученику из низшего мира не выпадала такая честь. По окончанию этой школы, лучшие ученики могли поступать в один из Пяти Великих Университетов. Однако после совершения им кровавого преступления, он был изгнан из школы и с позором возвращен в свой родной мир, где ему пришлось начать все сначала, чтобы вновь попытаться поступить в высший университет. Началом его возвращения после позорного изгнания стало состязание школ Запада и Востока, победители которого принимаются в начальную школу Тяньцзе – первая из ступеней обучения одаренных воинов. Мучень с триумфом одолел одного из заклятых врагов своей семьи, доказав всем, что он был достоин звания избранного из мира Бэйлинг."
215,215, Югио! (восьмой сезон) / Yuu Gi Ou: Vrains [1-120 из 120], 2017," приключения, фэнтези, сёнэн", ТВ, 120 (25 мин.)," Действие аниме переносит нас на десять лет вперёд в продвинутый город Дэн, оснащённый передовыми сетевыми системами. Корпорация ""Технологии СОЛ” построила в этом городе пространство, называемое ""Искусственная Сетевая Система Виртуальной Реальности Линк”, или же сокращённо ""ИССВР Линк”. С помощью этого виртуального пространства люди получили возможность играть друг с другом в дуэли. Однако, в любой системе можно найти прореху. Этим воспользовалась группа хакеров ""Рыцари Ханоя”, они ворвались в систему с целью уничтожить ""Сайберс” - мир с искусственным интеллектом. Юсаку Фуджики - простой школьник 16-ти лет, он ничем особым не выделяется среди общей массы, и его одноклассники вряд ли смогли бы заподозрить в нём выдающуюся личность. Но за стенами школы парень превращается в настоящего героя. Он решает дать отпор хакерам и выступает под личностью Плеймейкера. Альтерэго Юсаку быстро завоёвывает уважение и популярность среди дуэлянтов. Тем не менее, целью Плеймейкера является не только победа над ""Рыцарями Ханоя”, но и поиск правды о таинственном инциденте, случившемся в прошлом."
216,216, Аватар короля: Вершина славы /  Quan Zhi Gao Shou: Zhi Dianfeng Rongyao [1 из 1], 2019," приключения, комедия", полнометражный фильм, 1  (96 мин.)," Киберспорт был официально признан 78-ой спортивной дисциплиной и онлайн-игра «Слава» объявила о проведении первого чемпионата профессиональной лиги. 18-летний Ецзю со своим хорошим другом Сумуцзю, при поддержке начальника интернет-кафе, в котором они оба работали, решились на создание новой киберспортивной команды «Цзяши». Собрав команду из игроков, у каждого из которых была мечта заполучить главный приз профессионально лиги «Славы», они начали упорно тренироваться. Перед самым началом состязания по «Славе», Сумуцзю погиб в несчастном случае, это подорвало не только командный дух, но и лишило команду права на участие в состязании, так как для квалификации им не хватало еще одного человека в команду. Как поступит в этой ситуации Ецзю, будучи капитаном? Распустит ли он команду или найдет достойную замену Сумуцзю? Сможет ли команда мечтателей достичь вершины «Славы»? Ецзю придется проявить все свои лидерские качества и мудрость, чтобы привести свою команду к победе, сражаясь против сильнейшей команды профессионалов, при этом не забывая о том, что «Слава» - это командная игра."
217,217, Рыцари усердия / Try Knights [1-12 из 12], 2019," спорт, школа, сёдзё", ТВ, 12 (25 мин.)," Школа будет закончена и следует определиться с дальнейшими планами на будущее. Но Рику Харума не озадачивается размышлениями на данную тему. Парень поступил в старшую школу и предпочитал просто учиться. В отличие от Рику его сверстники определяли для себя сферы интересов и уделяли внимание спорту. Ребята не щадили себя, тренируясь и стремясь достигнуть высоких результатов. Акира Кария был также предан спортивной деятельности. Парень занималась регби. И именно этот спорт был весьма близок Рику. Не так давно он тоже был его поклонником, но вынужден был оставить регби из-за несоответствующей физической подготовки. Рику решает понаблюдать за тем, как проходит тренировка Акиру. Он начинает вспоминать и свои занятия. В какой-то мере его одолевает ностальгия, а память не стерла полученные навыки и что самое главное, познания о самой игре. И Рику отмечает, что в игре Акиру имеются рывки. Не удержавшись, он отвешивает парню совет. С того момента Рику все чаще задумывается о регби. Оказалось, что у него тоже была симпатия. Просто о ней он позабыл. Отложил на какое-то время, словно про запас. Регби из прошлого оказывает влияние на формирование видения собственного будущего у Рику."
218,218, Бэм / Bem [1-12 из 12], 2019," приключения, ужасы", ТВ, 12 (25 мин.)," Даже ёкаи могут наметить для себя путь служения добру. По крайней мере, такие, как Бэм, Бэло и Бэла. А ведь они по своей сути должны быть источником негатива. Три ёкаи решили, что им необходимо вмешаться в происходящие события и восстанавливать попранную справедливость. Внешность борцов с несправедливостью позволяет им быть частью человеческого общества. Они проживают по соседству с людьми, не сообщая тем о том, кем они являются на самом деле. Их полностью устраивает такой образ жизни. Кроме того, ёкаи хорошо знакомы с особенностями человеческого вида и их симпатия к ним так и не исчезла. Ёкаи неоднократно отмечали инциденты вмешательства их собратьев по биологическому виду в жизнь людей с целью внести хаос и навредить тем. Бэло, Бэла и Бэм стараются вовремя пресечь попытки злобных ёкаев. Из-за такого поведения ёкаи полностью вычеркнули тройку отщепенцев из своего общества. Но, как ни странно, и люди, за которых так болеют добрые ёкаи отвергают их. Несмотря на то, что они страдают от положения изгоев три дружественных ёкая продолжают свое дело. Они имеют цель, и ею стало желание стать людьми. Они уверенны, что у них это получится, и они снова будут теми, кем когда-то были."
219,219, Музыкальная школа звезд (третий сезон) / High School Star Musical 3rd Season [1-12 из 12], 2019," музыкальный, повседневность, школа", ТВ, 12 (25 мин.)," Чтобы достигнуть профессиональных высот следует учиться. И желательно у тех, кто имеет профессионализм и мастерство. И данное утверждение применимо не только к тем профессиям, что сопряжены с изобретениями, медициной и прочими сферами, но даже для творческого пути необходимо обзавестись багажом знаний. Так в академии Аяна старшеклассники могут открыть для себя мир музыки не как любители, а как будущие менеджеры. Как ни крути, а шоу-бизнес требует и таланта, и хватки. В этом учебном заведении много подающих надежд музыкантов. Каждый из них грезит о блестящей карьере. Вот только получат её единицы. Пятеро учащихся академии смогли стать настоящими друзьями, но кроме этого они объединили свои таланты и создали музыкальную группу. Вполне предсказуемо, принимая во внимание, что ребят и готовят в академии к подобным решениям в будущем. Пятерка мальчишек решилась ускорить процесс. Со стороны группа начинающих музыкантов не производила ни на кого особого впечатления. Нашелся только один человек, поверивший в перспективы коллектива. И этим смельчаком оказывается старшекурсник, к тому же получивший авторитет в заведении и с его мнением считаются практически все."
220,220, Кэрол и Тьюсдей / Carole & Tuesday [1-24 из 24], 2019," драма, романтика, музыка, фантастика", ТВ, 24 (25 мин.)," Миграция землян на новую планету для обитания началась пятьдесят лет назад. Заселились земляне на Марс и весьма успешно. Все трудности, связанные с данным маневром взвалило на себя ИИ, отсекая все попытки переселяемых участвовать в решении сопряженных вопросов. Такая тактика превратила человека в банального потребителя, не приспособленного к выполнению трудных задач. На Марсе были основаны города, наподобие тех, что были на Земле. В них проживали люди. Отправлялись они на неприхотливую работу, учились и почти ни о чем не мечтали. Кроме двух девочек, живших в разных городах, но имевших одну общую мечту. Кэрол, проживавшая в Альба-Сити и Тьюсдей из Хершел-Сити обожали музыку. Но не просто слушать, а хотели они её создавать. Вот только данная функция также находилась в сфере деятельности ИИ. Не имелось нужды в напрасных трудах людей. Кэрол не хочет уничтожать имеющийся талант. Тьюсдей перестает верить в то, что сможет реализовать свой потенциал. Их знакомство становится неожиданным. Случайным. И судьбоносным. Став подругами, они делятся мечтой и решают музицировать. Они создают небольшую волну. Их маленькое начинание может оказаться грандиозным проектом."
221,221, Дитя погоды / Tenki no Ko [1 из 1], 2019," драма, романтика, повседневность, фэнтези", полнометражный фильм, 1 (105 мин.)," Жизнь на отдаленном от шума цивилизации острове не производила впечатления на старшеклассника Ходаку Морисиму. Он желал себе иной жизни. Отучившись первый год в старшей школе, парень принимает непростое решение, которое кардинальным образом изменит его жизнь. Он покидает дом и держит путь в Токио. Ему кажется, что в столице жизнь бьет ключом и здесь непременно веселее  и, конечно же, больше возможностей. Ходака имел при себе кое-какие деньги и потому первые дни своего нахождения в столице не ощущал особого стеснения, пока финансы не закончились, и тогда он ощущает все прелести столичной жизни. Ходака собирается найти выход из затруднительного положения, тем более, что для этого всего лишь требуется обзавестись работой. Ходаке повезло, что он не был безработным слишком долго, и для него нашлось место в журнале, вот только тематика оного была какой-то странной, а именно оккультной. Парень не стал вдаваться в долгие размышления о сути работы, но стал подмечать, что когда он стал исполнять свои обязанности, то погода сильно испортилась. Он знакомится с Хиной Амано. Девушка живет с братом. Она весела и позитивна. И у неё есть умение разгонять облака и прекращать дождь."
222,222," Юно: Девушка, что воспевает любовь на грани этого мира / Konoyo no Hate de Koi o Utau Shoujo Yu-No [1-26 из 26]", 2019," фантастика, приключения, драма", ТВ, 26 (25 мин.)," Существование параллельных миров перестало казаться бессмыслицей, и хоть убедительных доказательств в пользу данной версии имелось мало, тем не менее интерес ученых усиливался. Среди искателей доказательств был отец Такуя Арима. Одержимый идеей существования параллельного мира историк бесследно исчезает. Такуя совладал с эмоциями, вызванными трагедией и в какой-то мере смирился с участью, постигшей отца. Студент наслаждался летними каникулами, когда получил то, что заставило его изменить свои суждения и вынужденно разнообразить досуг. Посылка в виде коробки и прилагавшееся сопроводительное письмо от отца настораживают Такуя. В письме идет речь о том, что имеется специальное устройство, которое может обеспечить проход между мирами. Парень не верит написанному. Ему и вовсе кажется, что это чья-то жестокая шутка. Но поверить придется. Причиной тому служит охота бандитов на устройство, которое упоминал отец. Такуя прибегает к помощи устройства, находящегося в коробке и отправляется на поиски отца. Он не сомневается более, что родитель жив и жажда приключений внутри скептика Такуя активирована. Функционал прибора представлен широкими возможностями."
223,223, Гранбелм / Granbelm [1-13 из 13], 2019," приключения, фэнтези", ТВ, 13 (25 мин.)," Сингэцу Эрнеста Фуками родилась в Японии, но на некоторое время была вынуждена переехать в Германию. Наконец-то она возвращается в родные места и оформляется в школу, где будет на правах новенькой ученицы, к которой приковано все внимание одноклассников. Мангэцу Кохината также учится в старшей школе. Вот только с Сингэцу она встретится не в школьной аудитории и не в коридоре на перемене, а при весьма таинственных обстоятельствах. Под полной луной на прогулке. Девочки установят контакт друг с другом. А начало ему положит странный вопрос от Фуками. Сингэцу не была равнодушна к магии и узнала Кохинату. Фуками признала в неожиданной подруге потомка величайшего волшебника. И поинтересовалась об этом прямо у Сингэцу. И вопрос не был праздным, ведь магия как таковая наполняла мир, разве что довольно давно. Ныне положение магических дел было весьма плачевным. И не потому, что о магии позабыли. Все было куда страшнее – магии попросту не хватало, и возник вполне обоснованный спрос на потомков прежних волшебников. Именно этим потомкам и следовало демонстрировать свои силы в жестоком турнире, получившем название Гранбелм. Девочкам предстоит соприкоснуться с древней магией."
