,Unnamed: 0,название,Год выхода,Жанр,Тип,Количество серий,Описание
10,10, Пламенная бригада пожарных (второй сезон) / Enen no Shouboutai: Ni no Shou [1-14 из 24] [15 серия - 9 октября], 2020," фантастика, приключения, сёнэн", ТВ, 24 (25 мин.)," На территории Токио происходят жутчайшие инциденты возгорания людей, превращающихся с ходячие статуи из огня, и довольно скоро им дают обозначение инфериалы. Происходящие явления вносят кардинальные перемены в будни города. Закономерно усиливается страх горожан перед неизученным явлением, но власти города вынуждены реагировать действенным методами, направленными на подавление происходящего и защиту населения.  К тому же инфериалы вошли в процесс эволюции и уже их потомки смогли подчинять себе стихию огня. Синра Кусакабэ был одним из таких талантов, что поджигал себе ноги и за это получил прозвище «Дьявольские ступни». Способности Синры обусловили его выбор профессиональной реализации, и он поступил на службу в пожарное подразделение специального назначение, значившееся, как восьмая рота. Его коллегами становятся такие же люди, как он сам, умеющие управлять огнем. С ними Синре придется не только ликвидировать происходящие возгорания, спасать невинных и беззащитных людей, но и пытаться понять суть данного явления, а его следует изучать. И оказывается, что оно сопряжено с серьезными тайнами и возможно узнавание всех нюансов обернется большими проблемами."
11,11, Королевский рейд: Наследники воли / King's Raid: Ishi wo Tsugumono-tachi [1 из 12+] [2 серия - 9 октября], 2020," приключения, фэнтези", ТВ, 12+ (25 мин.)," Касель был ещё довольно молодым, но уже сумел доказать свое рыцарское призвание. Он был отважным и сдержанным, как и надлежит настоящему воину. И ему придется проверить свои навыки рыцаря в непростом испытании, носящем личный характер. У Каселя был брат, но он пропал, причем при довольно таинственных обстоятельствах и его судьба оставалась совершенно неизвестной. И Касель отправляется искать своего близкого человека. По пути ему встречается Фрей, с которым рыцарь уже был знаком. Тот был священником, но при этом выразил готовность помочь рыцарю, составив ему компанию и даже приготовившись к тому, что придется сражаться. Рыцарь и священник поучают предложение о помощи со стороны миленькой волшебницы. Клео и её телохранитель Рой, отличавшийся брутальностью образа, готовы помогать Каселю. Таким образом, сформировалась отменная компания, способная совладать со множеством преград на своем пути. И им придется узнать причину исчезновения брата Каселя, что озадачит их вскрывшимися фактами, ведь, по сути миру угрожает смертельная опасность и её следует предотвратить.  Огромное количество демонов только и ждут момента, чтобы захватить мир и погрузить его во тьму."
12,12, Гипнотический микрофон: Рэп-баттл дивизионов / Hypnosis Mic: Division Rap Battle - Rhyme Anima [1 из 12+] [2 серия - 10 октября], 2020, музыкальный, ТВ, 12+ (25 мин.)," Произошедшая Третья Мировая война внесла существенные перемены в устройство общества и отныне установился матриархат. Мужчины, как таковые не утратили значимость, но не имели и прежних преференций. Власть на всех уровнях государственных структур принадлежала исключительно женщинам, а во избежание повторения военных действий в мире уничтожается все оружие. Но при этом конфликтные настроения между странами не устранились полностью. И для борьбы друг с другом правительства находят новое оружие, и им выступает гипнотический микрофон. Данное устройство позволяло устанавливать контроль над оппонентом и даже их ранить.  Микрофон приглянулся, как средство решения любого конфликта не только персонам, наделенным властью, но даже представителям криминальных кругов и прочих группировок. Некоторые парни сформировали целые дивизионы, которые учиняли неоднократные стычки, получившие название рэп-баттлы и в них отменно применялся данный микрофон. А причина проводимых сражений заключалась в разделе территорий. Все эти баттлы проводились за пределами тех территорий, что считались женскими. Ситуация с микрофоном приобретает неоднозначное развитие."
13,13, Унеси меня на Луну / Tonikaku Kawaii [1 из 12+] [2 серия - 9 октября], 2020," комедия, романтика, сёнэн", ТВ, 12+ (25 мин.)," Насмешки сопровождали парня с именем Наса Юдзаки, и в какой-то мере он к этому привык. Но усталость от шуток у парня имелась, ведь почти каждый спрашивал его  о том, не собирается ли он отправляться в космос в качестве астронавта. Наса полагает, что сумеет оградить себя от неприятных шуточек, если проработает собственный образ так, что станет серьезным человеком, что вызовет у общества уважение к нему. И ему удается справиться с данной задачей, а его едва не угораздило стать жертвой несчастного случая. В снежную ночь, предшествующую сдаче вступительных экзаменов в престижную академию, могла случиться трагедия. Парень засмотрелся на красивую девушку, притянувшую его внимание не одной лишь внешностью, а родственностью душ, ощущаемой при беглом взгляде. Наса позволил себе засмотреться на неё и утратил бдительность на дороге, что совершенно недопустимо. И на парня несся грузовик, водитель которого не среагировал на внезапное появление пешехода. А вот Цукаса Юдзаки среагировала довольно быстро и пришла на помощь Насе. Потрясенный всем произошедшим, парень тотчас признается девушке в любви. А Цукаса и сама рада этому признанию, но Насе придется на ней жениться."
14,14," Может, я встречу тебя в подземелье? (третий сезон) / Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III [1 из 12+] [2 серия - 9 октября]", 2020," приключения, фэнтези, романтика", ТВ, 12+ (25 мин.)," На территории города Орарио жители и гости не скучали, а уж Белл Кранел, обладавший уникальной способностью находить себе увлекательные занятия, планировал заслужить звание легендарного во всем мире авантюриста. Но четкого плана действий парень не имеет и полагается в какой-то мере на удачу, на интуицию и просто стечение обстоятельств. Но на этом пути парня частенько поджидают неудачи. А уже удача улыбнулась ему в тот момент, когда он познакомился с Гестией, являвшейся одинокой  богиней, жаждавшей общения. Белл получает шанс впустить в жизнь серьезные перемены и с Гестией отправляется в мир, наполненный сказкой.   Благодаря богине Белл узнает о мире, скрывавшемся в катакомбах. Причем там жизнь бьет ключом, хоть и в несколько необычном формате. А вот те, кто потревожат покой обитателей пространства, получившего название Подземелье, рискуют погибнуть, вот только угроза жизни не идет ни в какое сравнение с тем, что случилось на восемнадцатом этаже. Сами боги обращают внимание на Белла, особенно Аполлон, полагавший, что парню есть место в его семье. Самому же Аполлону пришлось покинуть Орарио, когда семейство, к которому принадлежала Гестия, получило победу."
15,15, Я стою на миллионах трупов / 100-man no Inochi no Ue ni Ore wa Tatteiru [1 из 12+] [2 серия - 9 октября], 2020," комедия, фэнтези, драма, сёнэн", ТВ, 12 (25 мин.)," Школьник Юсукэ Ёцуя в компании своих одноклассников, с которыми он поддерживал приятельские отношения, Иу Синдо и Кусуэ Хакодзи из привычного мира, в котором они родились и выросли, переносится в неизвестное ни одному из них и довольно странное пространство. Но самым страшным являлся тот факт, что в этом мире обитали мифологические существа, и с одним из них ребятам пришлось познакомиться. Мастер Игры встретил новоприбывших буквально тотчас, когда они появились. И именно он предоставил им квест, но довольно ограниченный по времени. Мастер Игры желает, чтобы ребята управились с заданием, и предоставляет им своего рода помощь.  Так Синдо и Хакодзаки приобретают роли мага и воина, а вот Ёцуя становится фермером, что видится подростку несколько несуразным. Деваться ребятам по сути некуда, покуда они не исполнят задачу, что им поручена. Она не видится такой уж простой, и они понимают, что ввязались в нешуточное приключение, тем более что их противниками становятся демоны и монстры, а эти существа угрожают всему живому и имеют огромные силы, кроме того, они могут проникнуть и в реальный мир. Втроем ребята находят возможность, как можно совладать со столь мощным врагом."
16,16, Живая любовь! Клуб идолов старшей школы Нидзигасаки / Love Live! Nijigasaki Gakuen School Idol Doukoukai [Анонс] [1 серия - 3 октября], 2020," музыкальный, школа, комедия", ТВ, 12+ (25 мин.)," Увлечения позволяют личности развиваться и становиться ещё более гармоничной. Юные девушки, учащиеся старших классов полагают, что не следует ограничиваться исключительно уроками и домашними заданиями, и решают раскрыть в себе музыкальный потенциал. Причем сами девушки уверены, что их способностей хватит достичь самого олимпа в музыке. И их немалая по количеству участниц группа начинает свое восхождение. На пути к реализации мечты имеется и множество трудностей, в том числе связанных с установлением взаимоотношений друг с другом, что не так просто, в силу различия характеров и амбиций. Сами же участницы были выбраны посредство игры, рассчитанной для смартфонов, и именно поэтому девушки не были достаточно знакомы друг с другом и этот момент им придется отработать. Кроме личностных трудностей девочкам доведется вовлечься в историю, связанную непосредственно со школой Нидзигасаки. Как оказалось, популярность школы стала понижаться, а это означало, что она прекратила быть доходным учебным заведением и над ней нависает угроза закрытия. Ученицы школы не желают покидать стены заведения, ставшего для них вторым домом, и желают спасти её, причем и план у них имеется."
17,17, Путешествие Элейны / Majo no Tabitabi [1 из 12+] [2 серия - 9 октября], 2020," приключения, фэнтези", ТВ, 13+ (25 мин.)," По всему миру проживает огромное разнообразие личностей, наделенных самыми невообразимыми талантами и способностями. Элейна не была посредственностью, являясь странствующей ведьмой. В её жизни имелся переизбыток впечатлений, но именно это требовалось столь необычной натуре. На протяжении долгих лет, что были затрачены на скитания по миру, Элейна познакомилась и со странами, и с людьми их населявшими. На своем пути ей пришлось встретить впечатляющего своим видом гиганта и парня, норовившего спасти любимую, а также принцессу, жившую в разоренной стране.  Ведьма копила в памяти истории своих знакомств со странами и людьми. Она была всем им благодарна за преподнесенные впечатления и полученную от них информацию. Притом, что она отличалась довольно большим внимание ко всем и всему, что встречалось на её пути, но сама Элейна не тяготела останавливаться на одном месте и где-то подолгу задерживаться. Ей не терпелось продвигаться дальше, будто впереди её ожидало нечто не только новое, но и безумно важное. И она спешила в путь, ощущая себя в полной мере путешественницей, не забывая о своей сути, как ведьмы, а потому изредка она проявляла свои удивительные таланты."
18,18, Аватар короля (второй сезон) / Quan Zhi Gao Shou Second Season [1-3 из 12+] [4 серия - 9 октября], 2019," приключения, комедия", ТВ, 12+ (25 мин.)," Зависть толкает людей на многие поступки. И с тех пор, как Йе Сю стал лучшим игроком в ""Славе”, его успехи никому не давали покоя. В итоге его выжили из команды профессиональных игроков, и его персонаж навсегда остался в забвении. Однако, Йе Сю вскоре вернулся, чтобы начать всё с самого начала. Используя весь свой опыт в этой игре, он быстро начал подниматься с низа, демонстрируя потрясающие навыки, достойные уровня эксперта. Вместе с ним начала расти и его новая команда. Несмотря на то, что многие подозревали новенького игрока в нечестности, всё же нашлись люди, которые начали ему доверять, и это оказалось верным выбором. Наконец, Йе Сю достиг того уровня, когда мог начать собирать команду для профессиональной лиги, а также столкнуться со своим давним противником, ещё со времён его прошлого аккаунта. Силы их равны, и Йе Сю предстоит перегнать его и вернуть себе законное место профессионала на вершине ""Славы”. Возвращение короля ещё не окончено!"
19,19, Штурм Лили: Букет / Assault Lily: Bouquet [1 из 12+], 2020," приключения, фэнтези", ТВ, 13+ (25 мин.)," Будущее таит неизвестность, а та в свою очередь предполагается опасной, в силу того, что нет понимания того, что же грядет. Какой-то ужасный замкнутый круг, но человечество однозначно движется в это самое будущее и будет вынуждено столкнуться с ужасами и опасностями. И действительно, угроза для человека уготована и представляет собой необычных по своему устройству и внешнему виду инопланетных созданий. Свои намерения пришельцы не скрывали и представляли угрозу для всей цивилизации. Планета рискует быть захваченной непрошенными гостями, причем владеющими мощным вооружением.  Земляне вовлекаются в чудовищную по своему масштабу войну. Но оружие, что имелось у людей, было недостаточно смертоносным для такого врага. Ученым приходится в довольно кратчайшие сроки, мобилизовав опыт и знания, изобрести оптимальный вид оружия, что позволит уничтожить противника. Так появляется оружие, созданное наукой и магией. А использовать его должны исключительно девушки, подросткового возраста, так званные «Лилии». Данные военные кадры обучают в специализированных академиях, и ученицы полны решимости защищать мир от пришельцев, убивая тех безо всякого сожаления."
20,20, Джибиэйт / Gibiate [1-12 из 12], 2020," ужасы, фэнтези, боевые искусства", ТВ, 12 (25 мин.)," В 2030 году на человечество обрушивается напасть в виде смертоносного вируса, который в кратчайшие сроки распространяется по планете, разнося в пух и прах прежнюю цивилизацию. Люди, которые заразились вирусом, беспрепятственно становятся монстрами, причем самых разнообразных мастей. Пока ученые ищут причину появления вируса, откуда тот вообще взялся, ему успевают дать название и оно звучит, как Джиби. Но кроме вируса случается ещё нечто необыкновенное и этим инцидентом становится перенос нескольких людей из прошлого в будущее. Так из раннего исторического периода Эдо прибыли два мужчины. Самурай Сэнсуй Киндзаки и ниндзя Кэнроку Санада испытывают дискомфорт, оказавшись там, где им все чуждо. Но им придется быстро адаптироваться к новым условиям и составить компанию врачу Кэтлин. Вместе они вынуждены путешествовать по стране, подвергшейся массированным разрушениям. Причем имеется смертельная опасность, ведь монстры никуда не делись и периодически нападают на людей. К тому же и желающие ограбить путников имеются, потому, как более негде взять провиант и прочие необходимые вещи. У Кэтлин имеется определенный план действий и может он окажется действенным."
21,21, Когда плачут цикады / Higurashi no Naku Koro ni (2020) [1 из 12+], 2020," триллер, детектив, ужасы", ТВ, 12+ (25 мин.)," Проблемы, что возникли у старшеклассника не оставили иного варианта решения, как подыскивать другое учебное заведение. Выбор парня пал на уютную школу, расположенную в живописном местечке. Деревушка Хинамидзава приглянулась и семье парня, и ему самому, невзирая на чрезмерное спокойствие, свойственное маленьким населенным пунктам в сравнении с крупными городами. Кэйити Маэбара довольно быстро освоился на новом месте и обзавелся друзьями, разве что в новой своей компании сверстников он выступал единственным мальчиком. Кэйити бы в восторге от юных созданий, что его окружали, но поспешил с выводами.  Размеренная жизнь в глубинке в один миг крушится известием о страшном преступлении. Совершенно убийство, причем довольно жестоким образом. Кэйити не остается в стороне от происходящих событий, а все потому, что он невольно становится свидетелем, а чуть позже и вовсе непосредственным фигурантом дальнейших страшных событий, криминального характера. Парню предстоит узнать истинную правду о тех людях, которых он считал своими друзьями. Также его ждет открытие истинной правды о городе, в который он перебрался и чем больше он узнает, тем страшнее ему становится."
